Comment,Emotion,Clean_Comment
i didnt expected to be that much addicted to the nicotine before ive experienced all withdrawal symptoms feeling irritable and so stressed going mad with cravings inability to concentrate dry mouth trouble sleeping i wake up every night at a,anger,didnt expected much addicted nicotine ive experienced withdrawal symptom feeling irritable stressed going mad craving inability concentrate dry mouth trouble sleeping wake every night
i asked feeling hesitant,fear,asked feeling hesitant
i go fishing i really feel so carefree can i fish everyday,joy,go fishing really feel carefree fish everyday
im feeling the need to mellow out i find something on the ipod that suits me or when im ready to pump it up ive always got a go to tune or two to get me reved up,joy,im feeling need mellow find something ipod suit im ready pump ive always got go tune two get reved
i inspect samples of wheat i started feeling that i was a suspicious character,fear,inspect sample wheat started feeling suspicious character
i feel delicious absolutely darling and delicious,joy,feel delicious absolutely darling delicious
i proclaim to have lost a bit of my sanity and feel so shaky,fear,proclaim lost bit sanity feel shaky
i even feel strange if i forget a primer and put foundation on my bare skin,fear,even feel strange forget primer put foundation bare skin
i brush it to the side or tuck it behind my ear only to feel a few rebellious strands escape and tickle my cheeks and my lips i realize im not the one in control,anger,brush side tuck behind ear feel rebellious strand escape tickle cheek lip realize im one control
i was able to maintain physical and mental activity as well as have a necessary structure and routine without feeling pressured to overdo it,fear,able maintain physical mental activity well necessary structure routine without feeling pressured overdo
im shocked i feel my own little problems put into perspective and i feel heartache for the innocent lives that have been ended,joy,im shocked feel little problem put perspective feel heartache innocent life ended
im feeling terribly impatient,anger,im feeling terribly impatient
